region,x,y,side,IW_Theta,IP_Theta,CW_Theta,CP_Theta,wavelength,intensity,integration_time
A,0.0,0.0,x,0,-45,-45,-45,508.55656601360533,1731.0,500000
A,0.0,0.0,x,0,-45,-45,-45,509.3357129466385,1727.0,500000
A,0.0,0.0,x,0,-45,-45,-45,510.1147876101604,1736.0,500000
A,0.0,0.0,x,0,-45,-45,-45,510.893790004171,1739.0,500000
A,0.0,0.0,x,0,-45,-45,-45,511.67272012867033,1736.0,500000
A,0.0,0.0,x,0,-45,-45,-45,512.4515779836584,1742.0,500000
A,0.0,0.0,x,0,-45,-45,-45,513.2303635691351,1736.0,500000
A,0.0,0.0,x,0,-45,-45,-45,514.0090768851005,1751.0,500000
A,0.0,0.0,x,0,-45,-45,-45,514.7877179315547,1747.0,500000
A,0.0,0.0,x,0,-45,-45,-45,515.5662867084975,1742.0,500000
A,0.0,0.0,x,0,-45,-45,-45,516.344783215929,1749.0,500000
A,0.0,0.0,x,0,-45,-45,-45,517.1232074538493,1756.0,500000
A,0.0,0.0,x,0,-45,-45,-45,517.9015594222583,1759.0,500000
A,0.0,0.0,x,0,-45,-45,-45,518.679839121156,1758.0,500000
A,0.0,0.0,x,0,-45,-45,-45,519.4580465505423,1763.0,500000
A,0.0,0.0,x,0,-45,-45,-45,520.2361817104174,1760.0,500000
A,0.0,0.0,x,0,-45,-45,-45,521.0142446007812,1769.0,500000
A,0.0,0.0,x,0,-45,-45,-45,521.7922352216337,1776.0,500000
A,0.0,0.0,x,0,-45,-45,-45,522.570153572975,1776.0,500000
A,0.0,0.0,x,0,-45,-45,-45,523.3479996548049,1776.0,500000
A,0.0,0.0,x,0,-45,-45,-45,524.1257734671235,1781.0,500000
A,0.0,0.0,x,0,-45,-45,-45,524.9034750099308,1782.0,500000
A,0.0,0.0,x,0,-45,-45,-45,525.6811042832269,1790.0,500000
A,0.0,0.0,x,0,-45,-45,-45,526.4586612870116,1795.0,500000
A,0.0,0.0,x,0,-45,-45,-45,527.2361460212851,1797.0,500000
A,0.0,0.0,x,0,-45,-45,-45,528.0135584860473,1807.0,500000
A,0.0,0.0,x,0,-45,-45,-45,528.7908986812981,1812.0,500000
A,0.0,0.0,x,0,-45,-45,-45,529.5681666070377,1821.0,500000
A,0.0,0.0,x,0,-45,-45,-45,530.345362263266,1818.0,500000
A,0.0,0.0,x,0,-45,-45,-45,531.122485649983,1827.0,500000
A,0.0,0.0,x,0,-45,-45,-45,531.8995367671887,1839.0,500000
A,0.0,0.0,x,0,-45,-45,-45,532.6765156148831,1846.0,500000
A,0.0,0.0,x,0,-45,-45,-45,533.4534221930662,1858.0,500000
A,0.0,0.0,x,0,-45,-45,-45,534.230256501738,1855.0,500000
A,0.0,0.0,x,0,-45,-45,-45,535.0070185408986,1874.0,500000
A,0.0,0.0,x,0,-45,-45,-45,535.7837083105478,1885.0,500000
A,0.0,0.0,x,0,-45,-45,-45,536.5603258106858,1888.0,500000
A,0.0,0.0,x,0,-45,-45,-45,537.3368710413124,1904.0,500000
A,0.0,0.0,x,0,-45,-45,-45,538.1133440024278,1902.0,500000
A,0.0,0.0,x,0,-45,-45,-45,538.8897446940318,1925.0,500000
A,0.0,0.0,x,0,-45,-45,-45,539.6660731161246,1934.0,500000
A,0.0,0.0,x,0,-45,-45,-45,540.4423292687061,1932.0,500000
A,0.0,0.0,x,0,-45,-45,-45,541.2185131517763,1938.0,500000
A,0.0,0.0,x,0,-45,-45,-45,541.9946247653352,1950.0,500000
A,0.0,0.0,x,0,-45,-45,-45,542.7706641093828,1977.0,500000
A,0.0,0.0,x,0,-45,-45,-45,543.5466311839191,1992.0,500000
A,0.0,0.0,x,0,-45,-45,-45,544.3225259889441,2020.0,500000
A,0.0,0.0,x,0,-45,-45,-45,545.0983485244578,2100.0,500000
A,0.0,0.0,x,0,-45,-45,-45,545.8740987904603,2582.0,500000
A,0.0,0.0,x,0,-45,-45,-45,546.6497767869514,3461.0,500000
A,0.0,0.0,x,0,-45,-45,-45,547.4253825139313,3228.0,500000
A,0.0,0.0,x,0,-45,-45,-45,548.2009159713998,2311.0,500000
A,0.0,0.0,x,0,-45,-45,-45,548.9763771593571,2105.0,500000
A,0.0,0.0,x,0,-45,-45,-45,549.751766077803,2108.0,500000
A,0.0,0.0,x,0,-45,-45,-45,550.5270827267377,2117.0,500000
A,0.0,0.0,x,0,-45,-45,-45,551.3023271061611,2111.0,500000
A,0.0,0.0,x,0,-45,-45,-45,552.0774992160732,2140.0,500000
A,0.0,0.0,x,0,-45,-45,-45,552.852599056474,2159.0,500000
A,0.0,0.0,x,0,-45,-45,-45,553.6276266273635,2180.0,500000
A,0.0,0.0,x,0,-45,-45,-45,554.4025819287417,2185.0,500000
A,0.0,0.0,x,0,-45,-45,-45,555.1774649606086,2216.0,500000
A,0.0,0.0,x,0,-45,-45,-45,555.9522757229643,2214.0,500000
A,0.0,0.0,x,0,-45,-45,-45,556.7270142158086,2254.0,500000
A,0.0,0.0,x,0,-45,-45,-45,557.5016804391416,2269.0,500000
A,0.0,0.0,x,0,-45,-45,-45,558.2762743929634,2272.0,500000
A,0.0,0.0,x,0,-45,-45,-45,559.0507960772738,2298.0,500000
A,0.0,0.0,x,0,-45,-45,-45,559.825245492073,2299.0,500000
A,0.0,0.0,x,0,-45,-45,-45,560.5996226373609,2325.0,500000
A,0.0,0.0,x,0,-45,-45,-45,561.3739275131375,2347.0,500000
A,0.0,0.0,x,0,-45,-45,-45,562.1481601194027,2363.0,500000
A,0.0,0.0,x,0,-45,-45,-45,562.9223204561567,2368.0,500000
A,0.0,0.0,x,0,-45,-45,-45,563.6964085233994,2378.0,500000
A,0.0,0.0,x,0,-45,-45,-45,564.4704243211308,2408.0,500000
A,0.0,0.0,x,0,-45,-45,-45,565.244367849351,2427.0,500000
A,0.0,0.0,x,0,-45,-45,-45,566.0182391080598,2420.0,500000
A,0.0,0.0,x,0,-45,-45,-45,566.7920380972573,2449.0,500000
A,0.0,0.0,x,0,-45,-45,-45,567.5657648169436,2443.0,500000
A,0.0,0.0,x,0,-45,-45,-45,568.3394192671185,2484.0,500000
A,0.0,0.0,x,0,-45,-45,-45,569.1130014477822,2498.0,500000
A,0.0,0.0,x,0,-45,-45,-45,569.8865113589345,2506.0,500000
A,0.0,0.0,x,0,-45,-45,-45,570.6599490005756,2528.0,500000
A,0.0,0.0,x,0,-45,-45,-45,571.4333143727054,2558.0,500000
A,0.0,0.0,x,0,-45,-45,-45,572.2066074753238,2532.0,500000
A,0.0,0.0,x,0,-45,-45,-45,572.979828308431,2554.0,500000
A,0.0,0.0,x,0,-45,-45,-45,573.7529768720269,2571.0,500000
A,0.0,0.0,x,0,-45,-45,-45,574.5260531661115,2586.0,500000
A,0.0,0.0,x,0,-45,-45,-45,575.2990571906848,2600.0,500000
A,0.0,0.0,x,0,-45,-45,-45,576.0719889457469,2602.0,500000
A,0.0,0.0,x,0,-45,-45,-45,576.8448484312976,2727.0,500000
A,0.0,0.0,x,0,-45,-45,-45,577.617635647337,2891.0,500000
A,0.0,0.0,x,0,-45,-45,-45,578.3903505938652,2828.0,500000
A,0.0,0.0,x,0,-45,-45,-45,579.162993270882,2834.0,500000
A,0.0,0.0,x,0,-45,-45,-45,579.9355636783876,2907.0,500000
A,0.0,0.0,x,0,-45,-45,-45,580.7080618163818,2767.0,500000
A,0.0,0.0,x,0,-45,-45,-45,581.4804876848648,2656.0,500000
A,0.0,0.0,x,0,-45,-45,-45,582.2528412838365,2630.0,500000
A,0.0,0.0,x,0,-45,-45,-45,583.0251226132968,2651.0,500000
A,0.0,0.0,x,0,-45,-45,-45,583.7973316732459,2667.0,500000
A,0.0,0.0,x,0,-45,-45,-45,584.5694684636837,2683.0,500000
A,0.0,0.0,x,0,-45,-45,-45,585.3415329846102,2678.0,500000
A,0.0,0.0,x,0,-45,-45,-45,586.1135252360255,2688.0,500000
A,0.0,0.0,x,0,-45,-45,-45,586.8854452179294,2651.0,500000
A,0.0,0.0,x,0,-45,-45,-45,587.657292930322,2673.0,500000
A,0.0,0.0,x,0,-45,-45,-45,588.4290683732033,2672.0,500000
A,0.0,0.0,x,0,-45,-45,-45,589.2007715465734,2674.0,500000
A,0.0,0.0,x,0,-45,-45,-45,589.9724024504321,2652.0,500000
A,0.0,0.0,x,0,-45,-45,-45,590.7439610847796,2662.0,500000
A,0.0,0.0,x,0,-45,-45,-45,591.5154474496157,2642.0,500000
A,0.0,0.0,x,0,-45,-45,-45,592.2868615449406,2661.0,500000
A,0.0,0.0,x,0,-45,-45,-45,593.0582033707542,2644.0,500000
A,0.0,0.0,x,0,-45,-45,-45,593.8294729270565,2625.0,500000
A,0.0,0.0,x,0,-45,-45,-45,594.6006702138475,2618.0,500000
A,0.0,0.0,x,0,-45,-45,-45,595.3717952311272,2623.0,500000
A,0.0,0.0,x,0,-45,-45,-45,596.1428479788956,2618.0,500000
A,0.0,0.0,x,0,-45,-45,-45,596.9138284571527,2599.0,500000
A,0.0,0.0,x,0,-45,-45,-45,597.6847366658985,2606.0,500000
A,0.0,0.0,x,0,-45,-45,-45,598.455572605133,2588.0,500000
A,0.0,0.0,x,0,-45,-45,-45,599.2263362748563,2586.0,500000
A,0.0,0.0,x,0,-45,-45,-45,599.9970276750682,2581.0,500000
A,0.0,0.0,x,0,-45,-45,-45,600.7676468057689,2557.0,500000
A,0.0,0.0,x,0,-45,-45,-45,601.5381936669583,2572.0,500000
A,0.0,0.0,x,0,-45,-45,-45,602.3086682586363,2552.0,500000
A,0.0,0.0,x,0,-45,-45,-45,603.0790705808031,2530.0,500000
A,0.0,0.0,x,0,-45,-45,-45,603.8494006334586,2519.0,500000
A,0.0,0.0,x,0,-45,-45,-45,604.6196584166028,2529.0,500000
A,0.0,0.0,x,0,-45,-45,-45,605.3898439302357,2504.0,500000
A,0.0,0.0,x,0,-45,-45,-45,606.1599571743573,2506.0,500000
A,0.0,0.0,x,0,-45,-45,-45,606.9299981489676,2488.0,500000
A,0.0,0.0,x,0,-45,-45,-45,607.6999668540666,2468.0,500000
A,0.0,0.0,x,0,-45,-45,-45,608.4698632896543,2462.0,500000
A,0.0,0.0,x,0,-45,-45,-45,609.2396874557307,2442.0,500000
A,0.0,0.0,x,0,-45,-45,-45,610.0094393522959,2424.0,500000
A,0.0,0.0,x,0,-45,-45,-45,610.7791189793497,2424.0,500000
A,0.0,0.0,x,0,-45,-45,-45,611.5487263368923,2412.0,500000
A,0.0,0.0,x,0,-45,-45,-45,612.3182614249235,2396.0,500000
A,0.0,0.0,x,0,-45,-45,-45,613.0877242434435,2410.0,500000
A,0.0,0.0,x,0,-45,-45,-45,613.8571147924522,2386.0,500000
A,0.0,0.0,x,0,-45,-45,-45,614.6264330719496,2364.0,500000
A,0.0,0.0,x,0,-45,-45,-45,615.3956790819357,2336.0,500000
A,0.0,0.0,x,0,-45,-45,-45,616.1648528224105,2343.0,500000
A,0.0,0.0,x,0,-45,-45,-45,616.933954293374,2338.0,500000
A,0.0,0.0,x,0,-45,-45,-45,617.7029834948262,2312.0,500000
A,0.0,0.0,x,0,-45,-45,-45,618.4719404267671,2288.0,500000
A,0.0,0.0,x,0,-45,-45,-45,619.2408250891967,2280.0,500000
A,0.0,0.0,x,0,-45,-45,-45,620.0096374821151,2273.0,500000
A,0.0,0.0,x,0,-45,-45,-45,620.7783776055221,2273.0,500000
A,0.0,0.0,x,0,-45,-45,-45,621.5470454594179,2244.0,500000
A,0.0,0.0,x,0,-45,-45,-45,622.3156410438023,2236.0,500000
A,0.0,0.0,x,0,-45,-45,-45,623.0841643586755,2220.0,500000
A,0.0,0.0,x,0,-45,-45,-45,623.8526154040374,2224.0,500000
A,0.0,0.0,x,0,-45,-45,-45,624.6209941798879,2211.0,500000
A,0.0,0.0,x,0,-45,-45,-45,625.3893006862272,2201.0,500000
A,0.0,0.0,x,0,-45,-45,-45,626.1575349230552,2174.0,500000
A,0.0,0.0,x,0,-45,-45,-45,626.9256968903719,2163.0,500000
